date,fremont_bridge_nb,fremont_bridge_sb
2017-06-16T06:00:00.000,120,73
2017-06-03T04:00:00.000,6,3
2017-06-07T02:00:00.000,5,3
2017-06-13T06:00:00.000,149,85
2017-06-14T22:00:00.000,41,15
2017-06-26T07:00:00.000,492,299
2017-06-17T12:00:00.000,48,22
2017-06-21T07:00:00.000,467,291
2017-06-30T21:00:00.000,87,38
2017-06-02T16:00:00.000,402,113
2017-06-08T10:00:00.000,65,35
2017-06-10T19:00:00.000,108,59
2017-06-19T00:00:00.000,3,2
2017-06-13T20:00:00.000,98,33
2017-06-15T17:00:00.000,358,78
2017-06-19T12:00:00.000,92,47
2017-06-07T13:00:00.000,108,51
2017-06-19T16:00:00.000,349,87
2017-06-08T12:00:00.000,37,21
2017-06-04T18:00:00.000,133,65
2017-06-24T00:00:00.000,21,7
2017-06-22T03:00:00.000,3,1
2017-06-25T16:00:00.000,210,82
2017-06-26T12:00:00.000,80,35
2017-06-09T05:00:00.000,39,28
2017-06-08T05:00:00.000,32,22
2017-06-13T15:00:00.000,123,46
2017-06-21T03:00:00.000,2,2
2017-01-14T04:00:00.000,0,0
2017-06-09T23:00:00.000,38,14
2017-01-22T04:00:00.000,0,0
2017-06-27T02:00:00.000,6,2
2017-06-13T11:00:00.000,53,23
2017-06-02T02:00:00.000,6,2
2017-06-02T05:00:00.000,50,40
2017-06-09T09:00:00.000,282,152
2017-06-22T06:00:00.000,230,139
2017-06-18T10:00:00.000,103,48
2017-01-10T01:00:00.000,0,0
2017-06-05T16:00:00.000,400,116
2017-06-07T17:00:00.000,822,181
2017-06-08T04:00:00.000,6,3
2017-06-01T01:00:00.000,5,2
2017-06-27T08:00:00.000,606,327
2017-06-20T16:00:00.000,315,87
2017-06-11T15:00:00.000,187,83
2017-06-06T22:00:00.000,52,18
2017-06-21T17:00:00.000,766,206
2017-06-14T09:00:00.000,293,131
2017-06-15T14:00:00.000,29,12
2017-06-01T21:00:00.000,91,42
2017-06-10T23:00:00.000,20,8
2017-06-03T06:00:00.000,27,11
2017-06-25T08:00:00.000,106,67
2017-06-14T02:00:00.000,3,2
2017-06-06T23:00:00.000,21,9
2017-06-26T17:00:00.000,729,170
2017-06-27T22:00:00.000,55,27
2017-06-28T10:00:00.000,141,66
2017-06-18T23:00:00.000,21,5
2017-06-14T14:00:00.000,124,48
2017-06-06T17:00:00.000,854,209
2017-06-01T23:00:00.000,16,10
2017-01-05T03:00:00.000,0,0
2017-06-12T00:00:00.000,2,1
2017-06-16T15:00:00.000,181,70
2017-06-28T02:00:00.000,2,0
2017-06-07T14:00:00.000,124,55
2017-06-18T22:00:00.000,26,12
2017-06-02T17:00:00.000,610,151
2017-06-01T14:00:00.000,110,51
2017-06-30T22:00:00.000,58,22
2017-06-19T05:00:00.000,40,30
2017-06-09T01:00:00.000,6,2
2017-01-06T03:00:00.000,0,0
2017-06-17T16:00:00.000,160,63
2017-06-06T19:00:00.000,328,102
2017-06-28T20:00:00.000,190,72
2017-06-13T18:00:00.000,382,106
2017-06-10T02:00:00.000,10,4
2012-11-01T03:00:00.000,0,0
2017-06-14T11:00:00.000,87,39
2017-06-19T21:00:00.000,86,48
2017-06-25T22:00:00.000,27,9
2017-06-05T22:00:00.000,32,15
2017-06-06T16:00:00.000,407,117
2017-06-04T06:00:00.000,13,5
